"Label (Grouping)","Marin County, California!!Total!!Estimate","Marin County, California!!Total!!Margin of Error","Marin County, California!!Male!!Estimate","Marin County, California!!Male!!Margin of Error","Marin County, California!!Female!!Estimate","Marin County, California!!Female!!Margin of Error"
"Total population","259,358","*****","126,745","±133","132,613","±133"
"AGE","","","","","",""
"    Under 5 years","4.9%","±0.1","5.1%","±0.1","4.7%","±0.1"
"    5 to 9 years","5.9%","±0.2","6.2%","±0.3","5.6%","±0.3"
"    10 to 14 years","6.3%","±0.2","6.4%","±0.3","6.2%","±0.3"
"    15 to 19 years","5.4%","±0.1","5.6%","±0.1","5.2%","±0.1"
"    20 to 24 years","4.4%","±0.1","4.8%","±0.1","3.9%","±0.1"
"    25 to 29 years","4.2%","±0.1","4.7%","±0.1","3.7%","±0.1"
"    30 to 34 years","4.9%","±0.1","5.1%","±0.1","4.6%","±0.1"
"    35 to 39 years","5.7%","±0.3","5.9%","±0.4","5.6%","±0.3"
"    40 to 44 years","7.2%","±0.3","7.4%","±0.4","7.1%","±0.4"
"    45 to 49 years","8.0%","±0.1","8.0%","±0.1","8.0%","±0.1"
"    50 to 54 years","8.1%","±0.1","8.0%","±0.1","8.1%","±0.1"
"    55 to 59 years","7.8%","±0.3","7.6%","±0.4","8.0%","±0.4"
"    60 to 64 years","7.8%","±0.3","7.4%","±0.4","8.1%","±0.4"
"    65 to 69 years","6.5%","±0.2","5.9%","±0.3","7.1%","±0.3"
"    70 to 74 years","4.8%","±0.2","4.9%","±0.3","4.8%","±0.3"
"    75 to 79 years","3.3%","±0.2","2.9%","±0.2","3.6%","±0.3"
"    80 to 84 years","2.3%","±0.2","2.0%","±0.2","2.5%","±0.3"
"    85 years and over","2.6%","±0.2","1.9%","±0.2","3.3%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.2%","±0.1","12.6%","±0.1","11.8%","±0.1"
"    15 to 17 years","3.4%","±0.1","3.6%","±0.1","3.3%","±0.1"
"    18 to 24 years","6.3%","±0.1","6.9%","±0.1","5.8%","±0.1"
"    15 to 44 years","31.8%","±0.1","33.6%","±0.2","30.2%","±0.1"
"    16 years and over","81.6%","±0.1","80.9%","±0.2","82.3%","±0.2"
"    18 years and over","79.5%","±0.1","78.7%","±0.1","80.2%","±0.1"
"    60 years and over","27.2%","±0.3","25.0%","±0.4","29.3%","±0.4"
"    62 years and over","23.9%","±0.2","21.8%","±0.3","25.8%","±0.3"
"    65 years and over","19.5%","±0.1","17.6%","±0.1","21.2%","±0.1"
"    75 years and over","8.1%","±0.1","6.8%","±0.1","9.4%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","45.7","±0.1","44.1","±0.2","47.3","±0.3"
"    Sex ratio (males per 100 females)","95.6","±0.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","66.6","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","32.4","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","34.2","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.5%","(X)","(X)","(X)","(X)","(X)"