"Label (Grouping)","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Total!!Margin of Error","San Francisco County, California!!Male!!Estimate","San Francisco County, California!!Male!!Margin of Error","San Francisco County, California!!Female!!Estimate","San Francisco County, California!!Female!!Margin of Error"
"Total population","807,755","*****","409,803","±115","397,952","±115"
"AGE","","","","","",""
"    Under 5 years","4.4%","*****","4.5%","±0.1","4.4%","±0.1"
"    5 to 9 years","3.5%","±0.1","3.6%","±0.2","3.5%","±0.2"
"    10 to 14 years","3.3%","±0.1","3.3%","±0.2","3.3%","±0.2"
"    15 to 19 years","4.3%","±0.1","4.0%","±0.1","4.6%","±0.2"
"    20 to 24 years","7.1%","±0.1","6.9%","±0.1","7.3%","±0.2"
"    25 to 29 years","11.1%","±0.1","10.9%","±0.1","11.2%","±0.1"
"    30 to 34 years","10.1%","±0.1","10.3%","±0.1","9.9%","±0.1"
"    35 to 39 years","8.7%","±0.2","9.4%","±0.3","8.1%","±0.3"
"    40 to 44 years","7.9%","±0.2","8.6%","±0.3","7.2%","±0.3"
"    45 to 49 years","7.1%","±0.1","7.7%","±0.1","6.5%","±0.1"
"    50 to 54 years","6.7%","±0.1","7.1%","±0.1","6.3%","±0.1"
"    55 to 59 years","6.2%","±0.2","6.4%","±0.2","6.0%","±0.2"
"    60 to 64 years","5.8%","±0.2","5.7%","±0.2","5.9%","±0.2"
"    65 to 69 years","3.8%","±0.1","3.5%","±0.1","4.0%","±0.2"
"    70 to 74 years","3.1%","±0.1","2.8%","±0.1","3.3%","±0.2"
"    75 to 79 years","2.7%","±0.1","2.4%","±0.1","3.0%","±0.1"
"    80 to 84 years","2.1%","±0.1","1.6%","±0.1","2.5%","±0.1"
"    85 years and over","2.2%","±0.1","1.5%","±0.1","2.9%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","6.8%","±0.1","6.8%","±0.1","6.8%","±0.1"
"    15 to 17 years","2.2%","±0.1","2.2%","±0.1","2.2%","±0.1"
"    18 to 24 years","9.2%","±0.1","8.8%","±0.1","9.7%","±0.1"
"    15 to 44 years","49.2%","±0.1","50.1%","±0.1","48.3%","±0.1"
"    16 years and over","88.1%","±0.1","88.1%","±0.1","88.1%","±0.1"
"    18 years and over","86.6%","*****","86.5%","±0.1","86.6%","±0.1"
"    60 years and over","19.5%","±0.2","17.5%","±0.2","21.7%","±0.2"
"    62 years and over","17.0%","±0.1","14.9%","±0.2","19.2%","±0.2"
"    65 years and over","13.7%","±0.1","11.8%","±0.1","15.7%","±0.1"
"    75 years and over","6.9%","±0.1","5.5%","±0.1","8.4%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","38.5","±0.1","38.5","±0.1","38.5","±0.2"
"    Sex ratio (males per 100 females)","103.0","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","37.3","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","18.9","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","18.4","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.0%","(X)","(X)","(X)","(X)","(X)"